"slidemap";"matrix";"x";"y";"positive_tumor_cells";"staining_intensity";"spot_quality";"sample_predect";"abcode";"pic"
"pko.hbn.1a.40";"36";"1";"1";"16-30%";"Moderate (++)";"null";"WP1_1.TPKo";40;"75_36_1_1_3630.jpg"
"pko.hbn.1a.40";"36";"1";"10";"null";"null";"Not representative";"WP1_78.TPKo";40;"75_36_1_10_3495.jpg"
"pko.hbn.1a.40";"36";"1";"11";">30%";"Moderate (++)";"null";"WP1_87.TPKo";40;"75_36_1_11_3482.jpg"
"pko.hbn.1a.40";"36";"1";"12";"16-30%";"Moderate (++)";"null";"WP1_97.TPKo";40;"75_36_1_12_3466.jpg"
"pko.hbn.1a.40";"36";"1";"13";">30%";"Moderate (++)";"null";"WP1_106.TPKo";40;"75_36_1_13_3449.jpg"
"pko.hbn.1a.40";"36";"1";"2";">30%";"Moderate (++)";"null";"WP1_11.TPKo";40;"75_36_1_2_3612.jpg"
"pko.hbn.1a.40";"36";"1";"3";"null";"null";"Not representative";"WP1_21.TPKo";40;"75_36_1_3_3593.jpg"
"pko.hbn.1a.40";"36";"1";"4";"null";"null";"Deatched";"WP1_30.TPKo";40;"75_36_1_4_3665.jpg"
"pko.hbn.1a.40";"36";"1";"5";"0%";"Neg (-)";"null";"WP1_40.TPKo";40;"75_36_1_5_3557.jpg"
"pko.hbn.1a.40";"36";"1";"6";">0% and <5%";"Strong (+++)";"null";"WP1_49.TPKo";40;"75_36_1_6_3541.jpg"
"pko.hbn.1a.40";"36";"1";"8";"5-15%";"Strong (+++)";"null";"WP1_59.TPKo";40;"75_36_1_8_3526.jpg"
"pko.hbn.1a.40";"36";"1";"9";"0%";"Neg (-)";"null";"WP1_68.TPKo";40;"75_36_1_9_3512.jpg"
"pko.hbn.1a.40";"36";"10";"1";">30%";"Strong (+++)";"null";"WP1_5.TPKo";40;"75_36_10_1_3637.jpg"
"pko.hbn.1a.40";"36";"10";"10";"null";"null";"Not representative";"WP1_82.TPKo";40;"75_36_10_10_3504.jpg"
"pko.hbn.1a.40";"36";"10";"11";"null";"null";"Not representative";"WP1_92.TPKo";40;"75_36_10_11_3484.jpg"
"pko.hbn.1a.40";"36";"10";"12";"5-15%";"Strong (+++)";"null";"WP1_101.TPKo";40;"75_36_10_12_3468.jpg"
"pko.hbn.1a.40";"36";"10";"13";">0% and <5%";"Strong (+++)";"null";"WP1_111.TPKo";40;"75_36_10_13_3440.jpg"
"pko.hbn.1a.40";"36";"10";"2";">30%";"Moderate (++)";"null";"WP1_15.TPKo";40;"75_36_10_2_3620.jpg"
"pko.hbn.1a.40";"36";"10";"3";"16-30%";"Strong (+++)";"null";"WP1_25.TPKo";40;"75_36_10_3_3601.jpg"
"pko.hbn.1a.40";"36";"10";"4";">0% and <5%";"Strong (+++)";"null";"WP1_35.TPKo";40;"75_36_10_4_3583.jpg"
"pko.hbn.1a.40";"36";"10";"5";"5-15%";"Moderate (++)";"null";"WP1_44.TPKo";40;"75_36_10_5_3570.jpg"
"pko.hbn.1a.40";"36";"10";"6";"5-15%";"Strong (+++)";"null";"WP1_54.TPKo";40;"75_36_10_6_3667.jpg"
"pko.hbn.1a.40";"36";"10";"8";"16-30%";"Strong (+++)";"null";"WP1_63.TPKo";40;"75_36_10_8_3534.jpg"
"pko.hbn.1a.40";"36";"10";"9";">0% and <5%";"Strong (+++)";"null";"WP1_73.TPKo";40;"75_36_10_9_3521.jpg"
"pko.hbn.1a.40";"36";"11";"1";"null";"null";"Not representative";"WP1_6.TPKo";40;"75_36_11_1_3635.jpg"
"pko.hbn.1a.40";"36";"11";"10";">30%";"Moderate (++)";"null";"WP1_83.TPKo";40;"75_36_11_10_3505.jpg"
"pko.hbn.1a.40";"36";"11";"11";"null";"null";"Not representative";"WP1_92.TPKo";40;"75_36_11_11_3488.jpg"
"pko.hbn.1a.40";"36";"11";"12";"16-30%";"Moderate (++)";"null";"WP1_102.TPKo";40;"75_36_11_12_3470.jpg"
"pko.hbn.1a.40";"36";"11";"13";">0% and <5%";"Strong (+++)";"null";"WP1_111.TPKo";40;"75_36_11_13_3446.jpg"
"pko.hbn.1a.40";"36";"11";"2";"null";"null";"Deatched";"WP1_16.TPKo";40;"75_36_11_2_3670.jpg"
"pko.hbn.1a.40";"36";"11";"3";"null";"null";"Not representative";"WP1_26.TPKo";40;"75_36_11_3_3605.jpg"
"pko.hbn.1a.40";"36";"11";"4";"null";"null";"Not representative";"WP1_35.TPKo";40;"75_36_11_4_3584.jpg"
"pko.hbn.1a.40";"36";"11";"5";">0% and <5%";"Strong (+++)";"null";"WP1_45.TPKo";40;"75_36_11_5_3565.jpg"
"pko.hbn.1a.40";"36";"11";"6";"5-15%";"Strong (+++)";"null";"WP1_54.TPKo";40;"75_36_11_6_3669.jpg"
"pko.hbn.1a.40";"36";"11";"8";"5-15%";"Moderate (++)";"null";"WP1_64.TPKo";40;"75_36_11_8_3532.jpg"
"pko.hbn.1a.40";"36";"11";"9";"null";"null";"Deatched";"WP1_73.TPKo";40;"75_36_11_9_3654.jpg"
"pko.hbn.1a.40";"36";"12";"1";"5-15%";"Moderate (++)";"null";"WP1_6.TPKo";40;"75_36_12_1_3638.jpg"
"pko.hbn.1a.40";"36";"12";"10";"16-30%";"Moderate (++)";"null";"WP1_83.TPKo";40;"75_36_12_10_3506.jpg"
"pko.hbn.1a.40";"36";"12";"11";"null";"null";"Deatched";"WP1_93.TPKo";40;"75_36_12_11_3653.jpg"
"pko.hbn.1a.40";"36";"12";"12";"16-30%";"Moderate (++)";"null";"WP1_102.TPKo";40;"75_36_12_12_3471.jpg"
"pko.hbn.1a.40";"36";"12";"13";"16-30%";"Moderate (++)";"null";"WP1_112.TPKo";40;"75_36_12_13_3450.jpg"
"pko.hbn.1a.40";"36";"12";"2";"null";"null";"Not representative";"WP1_16.TPKo";40;"75_36_12_2_3624.jpg"
"pko.hbn.1a.40";"36";"12";"3";"16-30%";"Moderate (++)";"null";"WP1_26.TPKo";40;"75_36_12_3_3606.jpg"
"pko.hbn.1a.40";"36";"12";"4";">0% and <5%";"Moderate (++)";"null";"WP1_36.TPKo";40;"75_36_12_4_3585.jpg"
"pko.hbn.1a.40";"36";"12";"5";"16-30%";"Moderate (++)";"null";"WP1_45.TPKo";40;"75_36_12_5_3566.jpg"
"pko.hbn.1a.40";"36";"12";"6";"null";"null";"Not representative";"WP1_55.TPKo";40;"75_36_12_6_3553.jpg"
"pko.hbn.1a.40";"36";"12";"8";"5-15%";"Strong (+++)";"null";"WP1_64.TPKo";40;"75_36_12_8_3652.jpg"
"pko.hbn.1a.40";"36";"12";"9";"null";"null";"Not representative";"WP1_74.TPKo";40;"75_36_12_9_3518.jpg"
"pko.hbn.1a.40";"36";"14";"1";">0% and <5%";"Moderate (++)";"null";"WP1_7.TPKo";40;"75_36_14_1_3641.jpg"
"pko.hbn.1a.40";"36";"14";"10";"0%";"Neg (-)";"null";"WP1_84.TPKo";40;"75_36_14_10_3498.jpg"
"pko.hbn.1a.40";"36";"14";"11";"null";"null";"Not representative";"WP1_93.TPKo";40;"75_36_14_11_3489.jpg"
"pko.hbn.1a.40";"36";"14";"12";">0% and <5%";"Strong (+++)";"null";"WP1_103.TPKo";40;"75_36_14_12_3469.jpg"
"pko.hbn.1a.40";"36";"14";"13";">30%";"Moderate (++)";"null";"WP1_112.TPKo";40;"75_36_14_13_3447.jpg"
"pko.hbn.1a.40";"36";"14";"2";"5-15%";"Strong (+++)";"null";"WP1_17.TPKo";40;"75_36_14_2_3622.jpg"
"pko.hbn.1a.40";"36";"14";"3";">0% and <5%";"Strong (+++)";"null";"WP1_27.TPKo";40;"75_36_14_3_3603.jpg"
"pko.hbn.1a.40";"36";"14";"4";">0% and <5%";"Strong (+++)";"null";"WP1_36.TPKo";40;"75_36_14_4_3586.jpg"
