"positive_tumor_cells" "pic" "newLabel"
"1" "16-30%" "75_36_1_1_3630.jpg" 3
"3" ">30%" "75_36_1_11_3482.jpg" 4
"4" "16-30%" "75_36_1_12_3466.jpg" 3
"5" ">30%" "75_36_1_13_3449.jpg" 4
"6" ">30%" "75_36_1_2_3612.jpg" 4
"9" "0%" "75_36_1_5_3557.jpg" 1
"10" ">0% and <5%" "75_36_1_6_3541.jpg" 2
"11" "5-15%" "75_36_1_8_3526.jpg" 3
"12" "0%" "75_36_1_9_3512.jpg" 1
"13" ">30%" "75_36_10_1_3637.jpg" 4
"16" "5-15%" "75_36_10_12_3468.jpg" 3
"17" ">0% and <5%" "75_36_10_13_3440.jpg" 2
"18" ">30%" "75_36_10_2_3620.jpg" 4
"19" "16-30%" "75_36_10_3_3601.jpg" 3
"20" ">0% and <5%" "75_36_10_4_3583.jpg" 2
"21" "5-15%" "75_36_10_5_3570.jpg" 3
"22" "5-15%" "75_36_10_6_3667.jpg" 3
"23" "16-30%" "75_36_10_8_3534.jpg" 3
"24" ">0% and <5%" "75_36_10_9_3521.jpg" 2
"26" ">30%" "75_36_11_10_3505.jpg" 4
"28" "16-30%" "75_36_11_12_3470.jpg" 3
"29" ">0% and <5%" "75_36_11_13_3446.jpg" 2
"33" ">0% and <5%" "75_36_11_5_3565.jpg" 2
"34" "5-15%" "75_36_11_6_3669.jpg" 3
"35" "5-15%" "75_36_11_8_3532.jpg" 3
"37" "5-15%" "75_36_12_1_3638.jpg" 3
"38" "16-30%" "75_36_12_10_3506.jpg" 3
"40" "16-30%" "75_36_12_12_3471.jpg" 3
"41" "16-30%" "75_36_12_13_3450.jpg" 3
"43" "16-30%" "75_36_12_3_3606.jpg" 3
"44" ">0% and <5%" "75_36_12_4_3585.jpg" 2
"45" "16-30%" "75_36_12_5_3566.jpg" 3
"47" "5-15%" "75_36_12_8_3652.jpg" 3
"49" ">0% and <5%" "75_36_14_1_3641.jpg" 2
"50" "0%" "75_36_14_10_3498.jpg" 1
"52" ">0% and <5%" "75_36_14_12_3469.jpg" 2
